HBM_CATMAN_DATAFILE_40
test kommentar
4/16/2011
17:27
CHANNELS: 5
SEPARATOR: 9
MAXLINES: 400                

Time DEVICE_1 (Sample rate 1)	F8111	F8113	F8114	F8116
s	N	N	N	N
4/16/2011-17:26	4/16/2011-17:26	4/16/2011-17:26	4/16/2011-17:26	4/16/2011-17:26
				
T0 =16.04.11 17:26:36	T0 =16.04.11 17:26:36	T0 =16.04.11 17:26:36	T0 =16.04.11 17:26:36	T0 =16.04.11 17:26:36
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 1	CH 2	CH 3	CH 4
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)900059039101 / 801043597140	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML10 ID=5006	ML10 ID=5006
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	AP 01 i ID=5530	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	Full bridge (low level) ID=358	Full bridge (low level) ID=358
x1=0 y1=0;x2=0 y2=0	x1=0.2111 y1=0;x2=2.2111 y2=-55.3	x1=0.7379 y1=0;x2=2.7379 y2=-77.02	x1=0.6193 y1=0;x2=2.6193 y2=-68.43999	x1=-0.468 y1=0;x2=1.532 y2=-56.14
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	0 N Zero	0 N Zero	0 N Zero	0 N Zero
0  Tare	8.7105 N Tare	7.9575 N Tare	7.777 N Tare	7.9639 N Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 N Software-Zero	0 N Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	0.005	-0.014	2.195	0.564
0.020	0.004	-0.016	2.181	0.591
0.040	0.004	-0.015	2.163	0.588
0.060	0.004	-0.013	2.149	0.556
0.080	0.004	-0.011	2.135	0.517
0.100	0.005	-0.011	2.114	0.495
0.120	0.005	-0.012	2.083	0.503
0.140	0.004	-0.014	2.052	0.521
0.160	0.004	-0.015	2.028	0.527
0.180	0.004	-0.015	2.016	0.507
0.200	0.004	-0.012	2.010	0.468
0.220	0.004	-0.010	2.000	0.428
0.240	0.005	-0.010	1.978	0.404
0.260	0.004	-0.010	1.945	0.392
0.280	0.004	-0.012	1.909	0.376
0.300	0.004	-0.014	1.876	0.343
0.320	0.005	-0.013	1.849	0.293
0.340	0.005	-0.011	1.825	0.239
0.360	0.005	-0.009	1.797	0.200
0.380	0.005	-0.008	1.766	0.185
0.400	0.005	-0.009	1.737	0.182
0.420	0.005	-0.011	1.718	0.171
0.440	0.005	-0.013	1.711	0.147
0.460	0.006	-0.012	1.711	0.116
0.480	0.006	-0.009	1.709	0.093
0.500	0.005	-0.007	1.700	0.087
0.520	0.005	-0.007	1.684	0.098
0.540	0.005	-0.008	1.667	0.110
0.560	0.005	-0.011	1.650	0.116
0.580	0.006	-0.012	1.632	0.109
0.600	0.006	-0.011	1.611	0.096
0.620	0.006	-0.009	1.587	0.085
0.640	0.005	-0.007	1.567	0.081
0.660	0.005	-0.006	1.555	0.082
0.680	0.005	-0.008	1.553	0.091
0.700	0.005	-0.011	1.562	0.108
0.720	0.005	-0.013	1.581	0.134
0.740	0.005	-0.012	1.609	0.167
0.760	0.005	-0.009	1.646	0.198
0.780	0.005	-0.007	1.692	0.222
0.800	0.004	-0.007	1.748	0.237
0.820	0.004	-0.009	1.803	0.255
0.840	0.005	-0.012	1.849	0.284
0.860	0.005	-0.013	1.880	0.324
0.880	0.005	-0.012	1.900	0.363
0.900	0.005	-0.010	1.919	0.386
0.920	0.005	-0.008	1.944	0.383
0.940	0.005	-0.008	1.976	0.365
0.960	0.005	-0.010	2.006	0.355
0.980	0.005	-0.013	2.026	0.371
1.000	0.005	-0.013	2.039	0.407
1.020	0.005	-0.012	2.056	0.439
1.040	0.005	-0.010	2.088	0.443
1.060	0.005	-0.009	2.132	0.424
1.080	0.005	-0.010	2.172	0.405
1.100	0.004	-0.012	2.196	0.408
1.120	0.004	-0.013	2.199	0.435
1.140	0.004	-0.013	2.186	0.464
1.160	0.004	-0.012	2.167	0.471
1.180	0.005	-0.010	2.145	0.449
1.200	0.006	-0.009	2.118	0.413
1.220	0.005	-0.010	2.082	0.383
1.240	0.004	-0.011	2.036	0.370
1.260	0.004	-0.012	1.985	0.372
1.280	0.004	-0.012	1.939	0.371
1.300	0.005	-0.011	1.908	0.353
1.320	0.006	-0.010	1.890	0.325
1.340	0.006	-0.009	1.874	0.305
1.360	0.005	-0.009	1.851	0.302
1.380	0.004	-0.010	1.822	0.314
1.400	0.004	-0.011	1.793	0.319
1.420	0.005	-0.011	1.772	0.299
1.440	0.006	-0.010	1.758	0.258
1.460	0.006	-0.009	1.741	0.218
1.480	0.005	-0.008	1.713	0.199
1.500	0.004	-0.008	1.676	0.200
1.520	0.004	-0.010	1.644	0.199
1.540	0.004	-0.011	1.624	0.183
1.560	0.006	-0.011	1.619	0.151
1.580	0.006	-0.010	1.625	0.120
1.600	0.006	-0.008	1.636	0.106
1.620	0.005	-0.008	1.648	0.115
1.640	0.004	-0.008	1.664	0.134
1.660	0.004	-0.010	1.684	0.150
1.680	0.004	-0.011	1.708	0.154
