HBM_CATMAN_DATAFILE_40

3/8/2011
13:51
CHANNELS: 4
SEPARATOR: 9
MAXLINES: 1600               

Time DEVICE_1 (Sample rate 1)	Fx8113	Fx8111	Speed_X
s	N	N	m/s
3/8/2011-13:51	3/8/2011-13:51	3/8/2011-13:51	3/8/2011-13:51
			
T0 =08.03.11 13:51:05	T0 =08.03.11 13:51:05	T0 =08.03.11 13:51:05	T0 =08.03.11 13:51:05
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 3	CH 4	CH 16 - 3
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 	Serial No. (Electronics / CP)059181052111 / 804325236
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML801 Multichannel board ID=5015
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	DC 10V (AP801) ID=5506
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	DC 10 V ID=426
x1=0 y1=0;x2=0 y2=0	x1=0.7336 y1=0;x2=2.7336 y2=77.02	x1=0.1781 y1=0;x2=2.1781 y2=55.3	x1=0 y1=0;x2=10 y2=3.125
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	V IN     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	m/s      (Engin.)
0  Nominal value	77.02 N Nominal value	55.3 N Nominal value	3.125 m/s Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	No excitation ID=10
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	-10.87076 N Zero	0.4109481 N Zero	-6.319173E-03 m/s Zero
0  Tare	-8.304299 N Tare	-19.2435 N Tare	-0.0019 m/s Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 m/s Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	-0.039	1.764	-0.504
0.020	-0.041	1.830	-0.504
0.040	-0.044	1.972	-0.504
0.060	-0.046	2.212	-0.504
0.080	-0.049	2.517	-0.504
0.100	-0.051	2.736	-0.504
0.120	-0.052	2.680	-0.504
0.140	-0.048	2.283	-0.504
0.160	-0.041	1.726	-0.504
0.180	-0.035	1.247	-0.504
0.200	-0.032	1.021	-0.504
0.220	-0.034	1.109	-0.506
0.240	-0.038	1.492	-0.508
0.260	-0.045	2.008	-0.513
0.280	-0.048	2.431	-0.518
0.300	-0.049	2.547	-0.522
0.320	-0.045	2.272	-0.525
0.340	-0.041	1.824	-0.527
0.360	-0.038	1.547	-0.528
0.380	-0.040	1.541	-0.528
0.400	-0.042	1.708	-0.528
0.420	-0.045	1.870	-0.528
0.440	-0.047	1.962	-0.528
0.460	-0.046	1.935	-0.528
0.480	-0.043	1.802	-0.528
0.500	-0.042	1.632	-0.528
0.520	-0.041	1.563	-0.528
0.540	-0.043	1.675	-0.528
0.560	-0.046	1.936	-0.528
0.580	-0.049	2.215	-0.528
0.600	-0.052	2.294	-0.528
0.620	-0.052	2.089	-0.528
0.640	-0.048	1.730	-0.528
0.660	-0.044	1.452	-0.528
0.680	-0.042	1.343	-0.528
0.700	-0.042	1.442	-0.529
0.720	-0.046	1.747	-0.531
0.740	-0.051	2.150	-0.534
0.760	-0.055	2.407	-0.538
0.780	-0.055	2.324	-0.543
0.800	-0.052	1.926	-0.548
0.820	-0.048	1.485	-0.551
0.840	-0.045	1.256	-0.553
0.860	-0.047	1.385	-0.553
0.880	-0.053	1.803	-0.553
0.900	-0.060	2.331	-0.553
0.920	-0.066	2.745	-0.553
0.940	-0.066	2.780	-0.552
0.960	-0.061	2.345	-0.552
0.980	-0.054	1.587	-0.552
1.000	-0.047	0.868	-0.553
1.020	-0.044	0.569	-0.553
1.040	-0.045	0.793	-0.553
1.060	-0.051	1.320	-0.553
1.080	-0.057	1.765	-0.553
1.100	-0.060	1.911	-0.553
1.120	-0.058	1.723	-0.553
1.140	-0.053	1.261	-0.553
1.160	-0.047	0.712	-0.553
1.180	-0.044	0.339	-0.553
1.200	-0.046	0.450	-0.553
1.220	-0.052	1.000	-0.553
1.240	-0.059	1.650	-0.553
1.260	-0.065	2.037	-0.553
1.280	-0.066	1.988	-0.553
1.300	-0.063	1.650	-0.553
1.320	-0.059	1.251	-0.553
1.340	-0.056	0.875	-0.553
1.360	-0.054	0.621	-0.553
1.380	-0.057	0.675	-0.553
1.400	-0.064	1.200	-0.553
1.420	-0.072	1.854	-0.553
1.440	-0.077	2.064	-0.553
1.460	-0.075	1.716	-0.553
1.480	-0.067	1.041	-0.553
1.500	-0.059	0.450	-0.553
1.520	-0.056	0.163	-0.553
1.540	-0.061	0.283	-0.553
1.560	-0.068	0.743	-0.553
1.580	-0.077	1.397	-0.553
1.600	-0.081	1.942	-0.553
1.620	-0.085	2.128	-0.553
1.640	-0.083	1.786	-0.553
1.660	-0.078	1.229	-0.553
1.680	-0.073	0.816	-0.553
1.700	-0.071	0.661	-0.553
1.720	-0.072	0.700	-0.553
1.740	-0.076	0.875	-0.553
1.760	-0.082	1.227	-0.553
1.780	-0.085	1.601	-0.553
1.800	-0.086	1.707	-0.553
1.820	-0.083	1.450	-0.553
1.840	-0.079	1.100	-0.553
1.860	-0.075	0.948	-0.553
1.880	-0.074	1.040	-0.553
1.900	-0.073	1.165	-0.553
1.920	-0.073	1.142	-0.553
1.940	-0.071	1.035	-0.553
1.960	-0.069	0.941	-0.553
1.980	-0.066	0.875	-0.553
2.000	-0.065	0.874	-0.553
2.020	-0.066	1.014	-0.553
2.040	-0.068	1.366	-0.553
2.060	-0.071	1.812	-0.553
2.080	-0.071	2.086	-0.553
2.100	-0.068	1.926	-0.553
2.120	-0.061	1.348	-0.553
2.140	-0.052	0.625	-0.553
2.160	-0.044	0.066	-0.553
2.180	-0.041	-0.101	-0.553
2.200	-0.044	0.272	-0.553
2.220	-0.052	1.106	-0.553
2.240	-0.062	2.073	-0.553
2.260	-0.069	2.734	-0.553
2.280	-0.068	2.782	-0.553
2.300	-0.060	2.169	-0.553
2.320	-0.047	1.225	-0.553
2.340	-0.035	0.333	-0.553
2.360	-0.026	-0.278	-0.553
2.380	-0.025	-0.446	-0.553
2.400	-0.028	-0.052	-0.553
2.420	-0.039	0.798	-0.553
2.440	-0.049	1.718	-0.553
2.460	-0.056	2.336	-0.553
2.480	-0.057	2.492	-0.553
2.500	-0.054	2.246	-0.553
2.520	-0.047	1.738	-0.553
2.540	-0.039	1.115	-0.553
2.560	-0.033	0.551	-0.553
2.580	-0.028	0.145	-0.553
2.600	-0.027	0.014	-0.553
2.620	-0.029	0.253	-0.553
2.640	-0.034	0.780	-0.553
2.660	-0.038	1.431	-0.553
2.680	-0.044	2.078	-0.553
2.700	-0.047	2.560	-0.553
2.720	-0.047	2.665	-0.553
2.740	-0.040	2.237	-0.553
2.760	-0.031	1.400	-0.553
2.780	-0.018	0.453	-0.553
2.800	-0.008	-0.318	-0.553
2.820	-0.001	-0.692	-0.553
2.840	-0.001	-0.476	-0.553
