HBM_CATMAN_DATAFILE_40

3/8/2011
11:18
CHANNELS: 4
SEPARATOR: 9
MAXLINES: 2200               

Time DEVICE_1 (Sample rate 1)	Fx8113	Fx8111	Speed_X
s	N	N	m/s
3/8/2011-11:17	3/8/2011-11:17	3/8/2011-11:17	3/8/2011-11:17
			
T0 =08.03.11 11:17:08	T0 =08.03.11 11:17:08	T0 =08.03.11 11:17:08	T0 =08.03.11 11:17:08
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 3	CH 4	CH 16 - 3
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 	Serial No. (Electronics / CP)059181052111 / 804325236
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML801 Multichannel board ID=5015
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	DC 10V (AP801) ID=5506
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	DC 10 V ID=426
x1=0 y1=0;x2=0 y2=0	x1=0.7336 y1=0;x2=2.7336 y2=77.02	x1=0.1781 y1=0;x2=2.1781 y2=55.3	x1=0 y1=0;x2=10 y2=3.125
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	V IN     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	m/s      (Engin.)
0  Nominal value	77.02 N Nominal value	55.3 N Nominal value	3.125 m/s Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	No excitation ID=10
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	-10.87076 N Zero	0.4109481 N Zero	-6.319173E-03 m/s Zero
0  Tare	-8.5899 N Tare	-19.4155 N Tare	-0.0022 m/s Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 m/s Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	0.059	-0.266	0.082
0.020	0.061	-0.437	0.082
0.040	0.061	-0.428	0.082
0.060	0.060	-0.283	0.082
0.080	0.057	-0.060	0.082
0.100	0.055	0.151	0.082
0.120	0.054	0.295	0.082
0.140	0.054	0.352	0.082
0.160	0.054	0.316	0.082
0.180	0.055	0.191	0.082
0.200	0.057	0.026	0.082
0.220	0.060	-0.156	0.082
0.240	0.061	-0.297	0.082
0.260	0.061	-0.320	0.082
0.280	0.060	-0.247	0.082
0.300	0.058	-0.068	0.082
0.320	0.056	0.155	0.082
0.340	0.054	0.350	0.082
0.360	0.053	0.439	0.082
0.380	0.054	0.376	0.082
0.400	0.056	0.205	0.082
0.420	0.058	-0.003	0.082
0.440	0.060	-0.188	0.082
0.460	0.062	-0.291	0.082
0.480	0.062	-0.296	0.082
0.500	0.062	-0.193	0.082
0.520	0.059	-0.007	0.082
0.540	0.058	0.180	0.082
0.560	0.056	0.306	0.082
0.580	0.056	0.333	0.082
0.600	0.057	0.268	0.082
0.620	0.058	0.151	0.082
0.640	0.060	0.010	0.082
0.660	0.061	-0.097	0.082
0.680	0.061	-0.129	0.082
0.700	0.062	-0.128	0.082
0.720	0.062	-0.125	0.082
0.740	0.063	-0.161	0.082
0.760	0.063	-0.183	0.082
0.780	0.063	-0.155	0.082
0.800	0.062	-0.041	0.082
0.820	0.060	0.133	0.082
0.840	0.058	0.313	0.082
0.860	0.057	0.445	0.082
0.880	0.057	0.463	0.082
0.900	0.059	0.353	0.082
0.920	0.061	0.161	0.082
0.940	0.063	-0.037	0.082
0.960	0.064	-0.205	0.082
0.980	0.065	-0.317	0.082
1.000	0.066	-0.373	0.082
1.020	0.066	-0.346	0.082
1.040	0.065	-0.219	0.082
1.060	0.063	-0.007	0.082
1.080	0.061	0.209	0.082
1.100	0.060	0.387	0.082
1.120	0.059	0.492	0.082
1.140	0.060	0.498	0.082
1.160	0.061	0.386	0.082
1.180	0.064	0.189	0.082
1.200	0.066	-0.027	0.082
