HBM_CATMAN_DATAFILE_40
test kommentar
4/15/2011
10:52
CHANNELS: 5
SEPARATOR: 9
MAXLINES: 1000               

Time DEVICE_1 (Sample rate 1)	F8111	F8113	F8114	F8116
s	N	N	N	N
4/15/2011-10:52	4/15/2011-10:52	4/15/2011-10:52	4/15/2011-10:52	4/15/2011-10:52
				
T0 =15.04.11 10:52:06	T0 =15.04.11 10:52:06	T0 =15.04.11 10:52:06	T0 =15.04.11 10:52:06	T0 =15.04.11 10:52:06
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 1	CH 2	CH 3	CH 4
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)900059039101 / 801043597140	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML10 ID=5006	ML10 ID=5006
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	AP 01 i ID=5530	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	Full bridge (low level) ID=358	Full bridge (low level) ID=358
x1=0 y1=0;x2=0 y2=0	x1=0.2111 y1=0;x2=2.2111 y2=-55.3	x1=0.7379 y1=0;x2=2.7379 y2=-77.02	x1=0.6193 y1=0;x2=2.6193 y2=-68.43999	x1=-0.468 y1=0;x2=1.532 y2=-56.14
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	0 N Zero	0 N Zero	0 N Zero	0 N Zero
0  Tare	0.074 N Tare	17.1338 N Tare	17.1259 N Tare	-0.3854 N Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 N Software-Zero	0 N Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	0.002	0.004	-0.065	0.007
0.020	0.002	0.004	-0.076	0.007
0.040	0.002	0.003	-0.086	0.007
0.060	0.002	0.003	-0.086	0.006
0.080	0.002	0.003	-0.070	0.006
0.100	0.002	0.003	-0.036	0.006
0.120	0.002	0.003	0.001	0.007
0.140	0.002	0.003	0.032	0.008
0.160	0.002	0.003	0.048	0.007
0.180	0.003	0.003	0.045	0.006
0.200	0.003	0.003	0.030	0.005
0.220	0.003	0.003	0.008	0.005
0.240	0.003	0.004	-0.021	0.007
0.260	0.003	0.003	-0.051	0.008
0.280	0.003	0.004	-0.078	0.008
0.300	0.003	0.004	-0.097	0.008
0.320	0.003	0.004	-0.100	0.008
0.340	0.003	0.004	-0.086	0.007
0.360	0.003	0.004	-0.059	0.007
0.380	0.003	0.004	-0.024	0.006
0.400	0.002	0.003	0.012	0.007
0.420	0.002	0.003	0.043	0.007
0.440	0.002	0.004	0.063	0.007
0.460	0.002	0.003	0.061	0.007
0.480	0.002	0.003	0.033	0.006
0.500	0.002	0.004	-0.019	0.005
0.520	0.002	0.004	-0.080	0.004
0.540	0.002	0.004	-0.127	0.004
0.560	0.002	0.004	-0.150	0.005
0.580	0.002	0.004	-0.150	0.006
0.600	0.002	0.004	-0.133	0.007
0.620	0.002	0.004	-0.112	0.008
0.640	0.003	0.004	-0.087	0.007
0.660	0.003	0.003	-0.056	0.006
0.680	0.003	0.003	-0.018	0.006
0.700	0.002	0.003	0.018	0.006
0.720	0.003	0.003	0.037	0.006
0.740	0.002	0.003	0.026	0.007
0.760	0.002	0.002	-0.011	0.007
0.780	0.002	0.003	-0.059	0.007
0.800	0.002	0.003	-0.101	0.007
0.820	0.002	0.003	-0.126	0.008
0.840	0.003	0.003	-0.137	0.008
0.860	0.003	0.003	-0.144	0.007
0.880	0.003	0.003	-0.144	0.006
0.900	0.003	0.003	-0.133	0.005
0.920	0.003	0.003	-0.102	0.006
0.940	0.003	0.003	-0.056	0.005
0.960	0.003	0.003	-0.013	0.004
0.980	0.003	0.003	0.007	0.004
1.000	0.002	0.003	-0.003	0.005
1.020	0.002	0.003	-0.033	0.006
1.040	0.002	0.003	-0.060	0.005
1.060	0.002	0.004	-0.074	0.005
1.080	0.003	0.005	-0.087	0.005
1.100	0.003	0.005	-0.111	0.007
1.120	0.003	0.005	-0.148	0.008
1.140	0.003	0.005	-0.185	0.007
1.160	0.003	0.005	-0.198	0.007
1.180	0.003	0.005	-0.164	0.006
1.200	0.003	0.005	-0.095	0.005
1.220	0.003	0.005	-0.017	0.004
1.240	0.003	0.004	0.041	0.004
1.260	0.003	0.003	0.066	0.004
1.280	0.003	0.003	0.057	0.004
1.300	0.003	0.003	0.033	0.005
1.320	0.003	0.003	-0.004	0.006
1.340	0.003	0.004	-0.062	0.007
1.360	0.003	0.005	-0.140	0.007
1.380	0.003	0.005	-0.218	0.007
1.400	0.003	0.005	-0.264	0.006
1.420	0.003	0.005	-0.248	0.006
1.440	0.002	0.005	-0.166	0.007
1.460	0.002	0.004	-0.048	0.007
1.480	0.002	0.003	0.060	0.006
1.500	0.003	0.003	0.123	0.005
1.520	0.003	0.002	0.134	0.005
1.540	0.003	0.001	0.103	0.005
1.560	0.003	0.002	0.050	0.004
1.580	0.003	0.003	-0.017	0.004
1.600	0.003	0.004	-0.106	0.004
1.620	0.003	0.004	-0.208	0.004
1.640	0.003	0.005	-0.289	0.004
1.660	0.003	0.005	-0.320	0.005
1.680	0.003	0.004	-0.276	0.005
1.700	0.003	0.004	-0.165	0.004
1.720	0.003	0.004	-0.035	0.005
1.740	0.003	0.003	0.071	0.005
1.760	0.003	0.002	0.130	0.005
1.780	0.003	0.002	0.138	0.005
1.800	0.003	0.002	0.119	0.006
1.820	0.002	0.002	0.079	0.005
1.840	0.003	0.003	0.012	0.005
1.860	0.003	0.004	-0.082	0.005
1.880	0.003	0.004	-0.189	0.004
1.900	0.003	0.004	-0.273	0.004
1.920	0.003	0.005	-0.294	0.004
1.940	0.003	0.005	-0.242	0.003
1.960	0.003	0.005	-0.137	0.002
1.980	0.002	0.005	-0.023	0.002
2.000	0.002	0.004	0.058	0.002
2.020	0.002	0.004	0.096	0.003
2.040	0.002	0.003	0.101	0.003
2.060	0.003	0.004	0.086	0.004
2.080	0.003	0.004	0.058	0.004
2.100	0.003	0.004	0.005	0.003
2.120	0.003	0.005	-0.070	0.003
2.140	0.002	0.005	-0.150	0.002
2.160	0.002	0.006	-0.205	0.004
2.180	0.003	0.006	-0.208	0.005
2.200	0.003	0.006	-0.155	0.006
2.220	0.003	0.006	-0.076	0.006
2.240	0.003	0.005	-0.007	0.006
2.260	0.003	0.005	0.028	0.006
2.280	0.003	0.004	0.033	0.006
2.300	0.003	0.004	0.025	0.004
2.320	0.002	0.004	0.012	0.004
2.340	0.002	0.004	-0.004	0.004
2.360	0.002	0.004	-0.036	0.003
2.380	0.002	0.004	-0.081	0.004
2.400	0.002	0.004	-0.115	0.004
2.420	0.002	0.004	-0.120	0.006
2.440	0.002	0.004	-0.084	0.006
2.460	0.003	0.003	-0.018	0.006
2.480	0.003	0.004	0.038	0.006
2.500	0.002	0.004	0.061	0.005
2.520	0.002	0.004	0.044	0.006
2.540	0.003	0.004	0.002	0.005
2.560	0.003	0.004	-0.034	0.005
2.580	0.003	0.004	-0.056	0.006
2.600	0.003	0.004	-0.069	0.006
2.620	0.003	0.004	-0.074	0.005
2.640	0.003	0.004	-0.076	0.005
2.660	0.003	0.004	-0.058	0.004
2.680	0.003	0.004	-0.012	0.004
2.700	0.003	0.004	0.049	0.003
2.720	0.003	0.004	0.101	0.003
2.740	0.003	0.003	0.116	0.003
2.760	0.003	0.003	0.085	0.003
2.780	0.003	0.003	0.027	0.003
2.800	0.003	0.003	-0.036	0.004
2.820	0.003	0.003	-0.083	0.004
2.840	0.003	0.003	-0.106	0.004
2.860	0.003	0.003	-0.114	0.003
2.880	0.002	0.002	-0.106	0.002
2.900	0.002	0.002	-0.081	0.002
2.920	0.002	0.001	-0.037	0.002
2.940	0.003	0.001	0.021	0.003
2.960	0.003	0.001	0.072	0.003
2.980	0.003	0.001	0.095	0.004
3.000	0.002	0.002	0.078	0.005
3.020	0.002	0.002	0.023	0.005
3.040	0.002	0.002	-0.049	0.004
3.060	0.002	0.003	-0.113	0.004
3.080	0.002	0.003	-0.161	0.004
3.100	0.002	0.003	-0.180	0.005
3.120	0.002	0.004	-0.172	0.004
3.140	0.002	0.004	-0.140	0.002
3.160	0.002	0.003	-0.082	0.001
3.180	0.002	0.003	-0.012	0.002
3.200	0.002	0.004	0.055	0.003
3.220	0.002	0.004	0.103	0.004
3.240	0.002	0.004	0.111	0.004
3.260	0.002	0.005	0.074	0.004
3.280	0.002	0.005	0.005	0.005
3.300	0.002	0.006	-0.084	0.005
3.320	0.002	0.007	-0.173	0.005
3.340	0.002	0.007	-0.244	0.004
3.360	0.002	0.008	-0.287	0.004
3.380	0.002	0.007	-0.289	0.003
3.400	0.002	0.007	-0.248	0.003
3.420	0.002	0.006	-0.175	0.004
3.440	0.002	0.005	-0.091	0.004
3.460	0.002	0.004	-0.018	0.004
3.480	0.002	0.003	0.025	0.004
3.500	0.002	0.003	0.030	0.003
3.520	0.002	0.003	0.003	0.002
3.540	0.002	0.003	-0.049	0.002
3.560	0.002	0.004	-0.112	0.001
3.580	0.002	0.004	-0.174	0.001
3.600	0.002	0.003	-0.218	0.001
3.620	0.002	0.003	-0.226	0.001
3.640	0.002	0.002	-0.187	0.002
3.660	0.002	0.002	-0.108	0.002
3.680	0.002	0.001	-0.015	0.002
3.700	0.002	0.001	0.065	0.001
3.720	0.002	0.001	0.112	-0.001
3.740	0.002	0.000	0.116	-0.001
3.760	0.002	0.001	0.092	0.000
3.780	0.002	0.001	0.049	0.000
3.800	0.002	0.002	-0.010	0.000
