HBM_CATMAN_DATAFILE_40
test kommentar
4/16/2011
16:55
CHANNELS: 5
SEPARATOR: 9
MAXLINES: 750                

Time DEVICE_1 (Sample rate 1)	F8111	F8113	F8114	F8116
s	N	N	N	N
4/16/2011-16:55	4/16/2011-16:55	4/16/2011-16:55	4/16/2011-16:55	4/16/2011-16:55
				
T0 =16.04.11 16:55:22	T0 =16.04.11 16:55:22	T0 =16.04.11 16:55:22	T0 =16.04.11 16:55:22	T0 =16.04.11 16:55:22
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 1	CH 2	CH 3	CH 4
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)900059039101 / 801043597140	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML10 ID=5006	ML10 ID=5006
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	AP 01 i ID=5530	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	Full bridge (low level) ID=358	Full bridge (low level) ID=358
x1=0 y1=0;x2=0 y2=0	x1=0.2111 y1=0;x2=2.2111 y2=-55.3	x1=0.7379 y1=0;x2=2.7379 y2=-77.02	x1=0.6193 y1=0;x2=2.6193 y2=-68.43999	x1=-0.468 y1=0;x2=1.532 y2=-56.14
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	0 N Zero	0 N Zero	0 N Zero	0 N Zero
0  Tare	8.7181 N Tare	7.978 N Tare	7.7697 N Tare	7.9605 N Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 N Software-Zero	0 N Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	-0.009	0.009	-0.151	0.329
0.020	-0.014	0.004	-0.104	0.223
0.040	-0.004	-0.004	0.030	-0.054
0.060	0.013	-0.009	0.131	-0.245
0.080	0.021	-0.005	0.118	-0.176
0.100	0.015	0.003	0.016	0.092
0.120	0.000	0.009	-0.068	0.326
0.140	-0.011	0.008	-0.053	0.333
0.160	-0.009	0.000	0.048	0.136
0.180	0.003	-0.008	0.145	-0.078
0.200	0.016	-0.009	0.152	-0.124
0.220	0.019	-0.002	0.059	0.023
0.240	0.010	0.006	-0.057	0.214
0.260	-0.003	0.009	-0.106	0.276
0.280	-0.010	0.004	-0.067	0.167
0.300	-0.005	-0.004	0.011	0.006
0.320	0.006	-0.009	0.054	-0.063
0.340	0.016	-0.007	0.033	0.007
0.360	0.015	0.001	-0.019	0.138
0.380	0.006	0.008	-0.046	0.197
0.400	-0.004	0.009	-0.022	0.127
0.420	-0.008	0.002	0.021	0.004
0.440	-0.002	-0.005	0.034	-0.058
0.460	0.009	-0.009	-0.004	-0.009
0.480	0.016	-0.005	-0.067	0.093
0.500	0.014	0.003	-0.099	0.138
0.520	0.004	0.008	-0.073	0.068
0.540	-0.005	0.007	-0.018	-0.050
0.560	-0.007	0.001	0.015	-0.097
0.580	-0.001	-0.005	-0.001	-0.022
0.600	0.010	-0.008	-0.039	0.101
0.620	0.016	-0.004	-0.049	0.154
0.640	0.013	0.002	-0.006	0.074
0.660	0.004	0.007	0.059	-0.068
0.680	-0.006	0.007	0.085	-0.128
0.700	-0.008	0.002	0.047	-0.033
0.720	0.000	-0.005	-0.021	0.135
0.740	0.012	-0.008	-0.052	0.229
0.760	0.018	-0.005	-0.009	0.164
0.780	0.014	0.001	0.082	-0.013
0.800	0.002	0.007	0.146	-0.147
0.820	-0.009	0.008	0.126	-0.117
0.840	-0.009	0.003	0.040	0.041
0.860	0.002	-0.005	-0.041	0.165
0.880	0.015	-0.009	-0.054	0.129
0.900	0.020	-0.006	-0.001	-0.048
0.920	0.013	0.001	0.053	-0.211
0.940	-0.002	0.009	0.045	-0.204
0.960	-0.012	0.010	-0.025	-0.026
0.980	-0.009	0.004	-0.092	0.162
1.000	0.006	-0.006	-0.089	0.196
1.020	0.020	-0.010	-0.014	0.055
1.040	0.021	-0.006	0.068	-0.126
1.060	0.009	0.003	0.076	-0.171
1.080	-0.008	0.011	-0.006	-0.027
1.100	-0.015	0.010	-0.109	0.166
1.120	-0.005	0.001	-0.145	0.213
1.140	0.012	-0.010	-0.085	0.055
1.160	0.023	-0.013	0.012	-0.176
1.180	0.019	-0.006	0.051	-0.271
1.200	0.002	0.007	-0.012	-0.127
1.220	-0.014	0.014	-0.124	0.152
1.240	-0.014	0.010	-0.178	0.319
1.260	0.001	-0.003	-0.111	0.221
1.280	0.019	-0.013	0.031	-0.053
1.300	0.025	-0.013	0.129	-0.253
1.320	0.014	-0.001	0.098	-0.190
1.340	-0.006	0.012	-0.037	0.089
1.360	-0.016	0.016	-0.155	0.332
1.380	-0.009	0.007	-0.149	0.306
1.400	0.009	-0.008	-0.022	0.018
1.420	0.023	-0.016	0.109	-0.274
1.440	0.021	-0.010	0.122	-0.299
1.460	0.005	0.004	0.001	-0.013
1.480	-0.012	0.016	-0.140	0.345
1.500	-0.015	0.014	-0.160	0.453
1.520	-0.002	0.001	-0.018	0.203
1.540	0.017	-0.013	0.176	-0.189
1.560	0.024	-0.016	0.257	-0.371
1.580	0.014	-0.004	0.147	-0.170
1.600	-0.004	0.011	-0.067	0.249
1.620	-0.015	0.018	-0.206	0.517
1.640	-0.009	0.009	-0.150	0.380
1.660	0.008	-0.007	0.053	-0.058
1.680	0.022	-0.017	0.227	-0.415
1.700	0.020	-0.012	0.220	-0.376
1.720	0.005	0.004	0.042	0.035
1.740	-0.011	0.017	-0.144	0.468
1.760	-0.014	0.016	-0.168	0.543
1.780	-0.001	0.002	0.001	0.184
1.800	0.016	-0.013	0.219	-0.303
1.820	0.022	-0.017	0.289	-0.493
1.840	0.012	-0.005	0.137	-0.215
1.860	-0.005	0.012	-0.118	0.303
1.880	-0.014	0.019	-0.266	0.617
1.900	-0.007	0.010	-0.180	0.448
1.920	0.010	-0.007	0.071	-0.066
1.940	0.021	-0.018	0.272	-0.479
1.960	0.018	-0.013	0.249	-0.428
1.980	0.002	0.004	0.021	0.048
2.000	-0.012	0.019	-0.215	0.543
2.020	-0.012	0.018	-0.259	0.626
2.040	0.002	0.002	-0.073	0.213
2.060	0.019	-0.016	0.179	-0.341
2.080	0.022	-0.019	0.273	-0.567
2.100	0.009	-0.005	0.124	-0.282
2.120	-0.008	0.014	-0.141	0.252
2.140	-0.016	0.023	-0.298	0.562
2.160	-0.007	0.013	-0.221	0.372
2.180	0.012	-0.008	0.015	-0.157
2.200	0.024	-0.021	0.195	-0.567
2.220	0.018	-0.015	0.155	-0.508
2.240	0.000	0.004	-0.071	-0.043
2.260	-0.015	0.022	-0.287	0.423
2.280	-0.014	0.021	-0.306	0.490
