time, roll, pitch, yaw
12:18:29.5118	0.000	0.000	0.000	0.000	0.000	0.000
12:18:32.8330	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:18:52.4021	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:18:55.2043	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:19:05.9039	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:19:07.3020	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:19:07.3690	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:19:07.8930	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:19:14.3224	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:19:28.7032	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:19:43.5040	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:19:52.2025	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:20:12.7027	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:20:37.7321	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:20:37.8231	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:20:38.0922	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:20:46.8737	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
12:20:46.9577	0.000	-1.000	-1.000	-1.000	0.000	0.000	0.000
